cnt is 390
conv_0, quant var = 5.128e-06, quant bias = 6.265e-04
conv_1_1_1, quant var = 2.144e-04, quant bias = -1.026e-03
conv_1_1_2, quant var = 7.773e-05, quant bias = -3.990e-03
conv_1_2_1, quant var = 5.422e-05, quant bias = 3.297e-03
conv_1_2_2, quant var = 2.247e-05, quant bias = -4.591e-04
conv_1_3_1, quant var = 2.444e-05, quant bias = -4.134e-04
conv_1_3_2, quant var = 2.411e-05, quant bias = 8.578e-04
conv_1_4_1, quant var = 1.934e-05, quant bias = -1.102e-03
conv_1_4_2, quant var = 1.587e-05, quant bias = -1.142e-03
conv_1_5_1, quant var = 1.006e-05, quant bias = 5.196e-04
conv_1_5_2, quant var = 9.124e-06, quant bias = -9.892e-04
conv_1_6_1, quant var = 1.590e-05, quant bias = -3.367e-04
conv_1_6_2, quant var = 7.235e-06, quant bias = -6.035e-04
conv_1_7_1, quant var = 1.319e-05, quant bias = -3.768e-04
conv_1_7_2, quant var = 6.471e-06, quant bias = -5.928e-04
conv_1_8_1, quant var = 7.084e-06, quant bias = 3.862e-04
conv_1_8_2, quant var = 5.403e-06, quant bias = -5.212e-04
conv_1_9_1, quant var = 9.724e-06, quant bias = -9.321e-04
conv_1_9_2, quant var = 3.794e-06, quant bias = -2.967e-04
conv_2_1_1, quant var = 4.701e-05, quant bias = -1.425e-03
conv_2_1_2, quant var = 4.964e-05, quant bias = -6.000e-03
conv_2_1_skip, quant var = 1.949e-05, quant bias = 3.739e-04
conv_2_2_1, quant var = 2.057e-05, quant bias = 2.719e-03
conv_2_2_2, quant var = 1.669e-05, quant bias = -1.404e-03
conv_2_3_1, quant var = 3.380e-05, quant bias = 7.380e-04
conv_2_3_2, quant var = 1.487e-05, quant bias = 2.266e-04
conv_2_4_1, quant var = 1.959e-05, quant bias = -1.493e-03
conv_2_4_2, quant var = 1.387e-05, quant bias = 2.028e-04
conv_2_5_1, quant var = 1.451e-05, quant bias = 1.439e-03
conv_2_5_2, quant var = 1.381e-05, quant bias = 1.086e-03
conv_2_6_1, quant var = 1.832e-05, quant bias = -3.552e-03
conv_2_6_2, quant var = 9.160e-06, quant bias = -3.054e-04
conv_2_7_1, quant var = 1.355e-05, quant bias = -1.169e-03
conv_2_7_2, quant var = 7.951e-06, quant bias = 5.221e-04
conv_2_8_1, quant var = 6.157e-06, quant bias = -1.071e-04
conv_2_8_2, quant var = 6.171e-06, quant bias = 4.257e-05
conv_2_9_1, quant var = 7.667e-06, quant bias = 1.837e-04
conv_2_9_2, quant var = 7.211e-06, quant bias = 5.304e-04
conv_3_1_1, quant var = 4.586e-05, quant bias = 7.537e-03
conv_3_1_2, quant var = 4.864e-05, quant bias = -2.361e-03
conv_3_1_skip, quant var = 1.531e-05, quant bias = 3.984e-04
conv_3_2_1, quant var = 4.164e-05, quant bias = -1.642e-03
conv_3_2_2, quant var = 2.354e-05, quant bias = -9.393e-04
conv_3_3_1, quant var = 2.988e-05, quant bias = -1.085e-03
conv_3_3_2, quant var = 2.203e-05, quant bias = -1.590e-04
conv_3_4_1, quant var = 1.542e-05, quant bias = -1.679e-03
conv_3_4_2, quant var = 1.099e-05, quant bias = -2.878e-04
conv_3_5_1, quant var = 7.879e-06, quant bias = 1.358e-03
conv_3_5_2, quant var = 4.556e-06, quant bias = -3.096e-04
conv_3_6_1, quant var = 2.640e-06, quant bias = -1.795e-04
conv_3_6_2, quant var = 1.972e-06, quant bias = -4.483e-04
conv_3_7_1, quant var = 3.049e-06, quant bias = 5.210e-04
conv_3_7_2, quant var = 1.249e-06, quant bias = -9.115e-04
conv_3_8_1, quant var = 2.281e-06, quant bias = -4.504e-04
conv_3_8_2, quant var = 4.061e-07, quant bias = -8.847e-04
conv_3_9_1, quant var = 9.048e-07, quant bias = 3.805e-04
conv_3_9_2, quant var = 1.253e-07, quant bias = 3.112e-04
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 1.164e-03, Quant bias = -1.532e-02
