cnt is 390
conv_0, quant var = 1.326e-08, quant bias = 3.409e-05
conv_1_1_1, quant var = 9.158e-08, quant bias = 6.264e-05
conv_1_1_2, quant var = 3.392e-08, quant bias = -3.500e-05
conv_1_2_1, quant var = 1.276e-08, quant bias = 3.039e-05
conv_1_2_2, quant var = 1.023e-08, quant bias = -2.565e-05
conv_1_3_1, quant var = 8.274e-09, quant bias = 2.352e-05
conv_1_3_2, quant var = 4.698e-09, quant bias = 2.020e-05
conv_1_4_1, quant var = 5.098e-09, quant bias = -5.518e-05
conv_1_4_2, quant var = 3.362e-09, quant bias = -3.084e-05
conv_1_5_1, quant var = 3.031e-09, quant bias = 2.174e-05
conv_1_5_2, quant var = 1.965e-09, quant bias = -1.622e-05
conv_1_6_1, quant var = 3.622e-09, quant bias = -2.491e-06
conv_1_6_2, quant var = 1.463e-09, quant bias = 1.788e-06
conv_1_7_1, quant var = 7.998e-09, quant bias = -2.440e-05
conv_1_7_2, quant var = 1.876e-09, quant bias = 7.326e-07
conv_1_8_1, quant var = 3.147e-09, quant bias = 8.410e-06
conv_1_8_2, quant var = 1.507e-09, quant bias = 7.970e-06
conv_1_9_1, quant var = 2.141e-09, quant bias = -2.505e-05
conv_1_9_2, quant var = 1.103e-09, quant bias = -1.549e-05
conv_2_1_1, quant var = 1.471e-08, quant bias = 9.265e-05
conv_2_1_2, quant var = 1.099e-08, quant bias = -4.004e-05
conv_2_1_skip, quant var = 4.604e-09, quant bias = -8.869e-06
conv_2_2_1, quant var = 4.267e-09, quant bias = 5.840e-05
conv_2_2_2, quant var = 3.354e-09, quant bias = -1.896e-05
conv_2_3_1, quant var = 4.375e-09, quant bias = 2.659e-05
conv_2_3_2, quant var = 2.490e-09, quant bias = -6.159e-06
conv_2_4_1, quant var = 4.234e-09, quant bias = -2.519e-05
conv_2_4_2, quant var = 2.719e-09, quant bias = -7.240e-06
conv_2_5_1, quant var = 3.587e-09, quant bias = 2.043e-05
conv_2_5_2, quant var = 2.435e-09, quant bias = -3.913e-06
conv_2_6_1, quant var = 3.012e-09, quant bias = -1.980e-05
conv_2_6_2, quant var = 2.024e-09, quant bias = -2.068e-05
conv_2_7_1, quant var = 3.431e-09, quant bias = -5.310e-05
conv_2_7_2, quant var = 2.152e-09, quant bias = -5.151e-07
conv_2_8_1, quant var = 2.947e-09, quant bias = -1.086e-05
conv_2_8_2, quant var = 2.028e-09, quant bias = -6.775e-06
conv_2_9_1, quant var = 3.211e-09, quant bias = 2.016e-06
conv_2_9_2, quant var = 1.856e-09, quant bias = -4.138e-06
conv_3_1_1, quant var = 1.273e-08, quant bias = 4.374e-05
conv_3_1_2, quant var = 2.596e-08, quant bias = -5.635e-05
conv_3_1_skip, quant var = 8.504e-09, quant bias = -1.612e-05
conv_3_2_1, quant var = 1.597e-08, quant bias = 1.090e-05
conv_3_2_2, quant var = 2.187e-08, quant bias = 3.419e-06
conv_3_3_1, quant var = 1.169e-08, quant bias = -3.282e-05
conv_3_3_2, quant var = 1.924e-08, quant bias = -8.319e-05
conv_3_4_1, quant var = 1.924e-08, quant bias = 9.901e-05
conv_3_4_2, quant var = 1.323e-08, quant bias = 2.434e-05
conv_3_5_1, quant var = 1.086e-08, quant bias = -1.754e-05
conv_3_5_2, quant var = 5.137e-09, quant bias = 4.405e-06
conv_3_6_1, quant var = 2.575e-09, quant bias = 7.268e-06
conv_3_6_2, quant var = 2.980e-09, quant bias = -2.782e-05
conv_3_7_1, quant var = 7.106e-09, quant bias = -8.117e-05
conv_3_7_2, quant var = 5.162e-09, quant bias = -5.049e-05
conv_3_8_1, quant var = 1.468e-08, quant bias = -8.894e-05
conv_3_8_2, quant var = 6.751e-09, quant bias = -5.284e-05
conv_3_9_1, quant var = 5.838e-09, quant bias = 1.072e-04
conv_3_9_2, quant var = 2.481e-10, quant bias = 4.805e-06
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 4.992e-07, Quant bias = -2.472e-04
