cnt is 390
conv_0, quant var = 1.326e-08, quant bias = 3.409e-05
conv_1_1_1, quant var = 4.457e-08, quant bias = 4.536e-05
conv_1_1_2, quant var = 1.169e-08, quant bias = 1.204e-05
conv_1_2_1, quant var = 8.499e-09, quant bias = 4.531e-05
conv_1_2_2, quant var = 4.403e-09, quant bias = 2.398e-05
conv_1_3_1, quant var = 3.907e-09, quant bias = 9.936e-06
conv_1_3_2, quant var = 2.080e-09, quant bias = 6.411e-06
conv_1_4_1, quant var = 4.387e-09, quant bias = -5.147e-05
conv_1_4_2, quant var = 1.783e-09, quant bias = -2.389e-05
conv_1_5_1, quant var = 1.590e-09, quant bias = 1.110e-05
conv_1_5_2, quant var = 1.062e-09, quant bias = -1.424e-05
conv_1_6_1, quant var = 1.829e-09, quant bias = 1.101e-05
conv_1_6_2, quant var = 9.021e-10, quant bias = -8.121e-06
conv_1_7_1, quant var = 4.646e-09, quant bias = -1.731e-05
conv_1_7_2, quant var = 9.299e-10, quant bias = -8.741e-06
conv_1_8_1, quant var = 1.861e-09, quant bias = 1.909e-05
conv_1_8_2, quant var = 7.674e-10, quant bias = -3.611e-06
conv_1_9_1, quant var = 1.658e-09, quant bias = -8.369e-06
conv_1_9_2, quant var = 6.696e-10, quant bias = -1.203e-05
conv_2_1_1, quant var = 7.223e-09, quant bias = 1.128e-04
conv_2_1_2, quant var = 6.169e-09, quant bias = -1.584e-05
conv_2_1_skip, quant var = 2.092e-09, quant bias = -3.738e-06
conv_2_2_1, quant var = 2.824e-09, quant bias = 3.503e-05
conv_2_2_2, quant var = 1.891e-09, quant bias = -9.288e-06
conv_2_3_1, quant var = 2.932e-09, quant bias = 3.835e-05
conv_2_3_2, quant var = 1.428e-09, quant bias = -1.002e-05
conv_2_4_1, quant var = 2.473e-09, quant bias = -2.176e-05
conv_2_4_2, quant var = 1.550e-09, quant bias = -8.617e-06
conv_2_5_1, quant var = 2.395e-09, quant bias = -1.950e-05
conv_2_5_2, quant var = 1.419e-09, quant bias = -1.298e-05
conv_2_6_1, quant var = 1.977e-09, quant bias = -4.630e-07
conv_2_6_2, quant var = 1.202e-09, quant bias = -1.773e-05
conv_2_7_1, quant var = 2.583e-09, quant bias = -2.435e-05
conv_2_7_2, quant var = 1.276e-09, quant bias = -7.089e-06
conv_2_8_1, quant var = 2.073e-09, quant bias = 5.461e-06
conv_2_8_2, quant var = 1.193e-09, quant bias = -9.846e-06
conv_2_9_1, quant var = 2.181e-09, quant bias = 5.748e-06
conv_2_9_2, quant var = 1.100e-09, quant bias = -1.110e-05
conv_3_1_1, quant var = 8.096e-09, quant bias = -5.389e-05
conv_3_1_2, quant var = 1.202e-08, quant bias = -6.511e-05
conv_3_1_skip, quant var = 3.472e-09, quant bias = -1.405e-05
conv_3_2_1, quant var = 8.822e-09, quant bias = -2.999e-05
conv_3_2_2, quant var = 7.918e-09, quant bias = -1.853e-05
conv_3_3_1, quant var = 6.939e-09, quant bias = -4.530e-05
conv_3_3_2, quant var = 6.417e-09, quant bias = -6.658e-05
conv_3_4_1, quant var = 6.718e-09, quant bias = 2.068e-05
conv_3_4_2, quant var = 4.091e-09, quant bias = -4.301e-05
conv_3_5_1, quant var = 3.937e-09, quant bias = -2.521e-05
conv_3_5_2, quant var = 1.593e-09, quant bias = 5.551e-06
conv_3_6_1, quant var = 1.204e-09, quant bias = 1.354e-05
conv_3_6_2, quant var = 1.163e-09, quant bias = -1.666e-05
conv_3_7_1, quant var = 4.389e-09, quant bias = -7.849e-05
conv_3_7_2, quant var = 2.291e-09, quant bias = -1.033e-05
conv_3_8_1, quant var = 4.610e-09, quant bias = 4.583e-05
conv_3_8_2, quant var = 1.703e-09, quant bias = -1.655e-05
conv_3_9_1, quant var = 1.271e-09, quant bias = 5.518e-05
conv_3_9_2, quant var = 6.221e-11, quant bias = 5.224e-06
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 2.432e-07, Quant bias = -2.421e-04
