cnt is 390
conv_0, quant var = 1.802e-08, quant bias = 2.888e-05
conv_1_1_1, quant var = 1.431e-07, quant bias = 1.436e-04
conv_1_1_2, quant var = 6.054e-08, quant bias = 4.753e-05
conv_1_2_1, quant var = 2.801e-08, quant bias = 3.011e-05
conv_1_2_2, quant var = 1.314e-08, quant bias = 9.853e-06
conv_1_3_1, quant var = 8.791e-09, quant bias = 3.482e-05
conv_1_3_2, quant var = 7.268e-09, quant bias = -8.403e-06
conv_1_4_1, quant var = 9.700e-09, quant bias = -3.635e-05
conv_1_4_2, quant var = 5.186e-09, quant bias = -6.378e-05
conv_1_5_1, quant var = 4.156e-09, quant bias = -8.826e-06
conv_1_5_2, quant var = 3.138e-09, quant bias = -1.357e-05
conv_1_6_1, quant var = 4.999e-09, quant bias = -1.060e-05
conv_1_6_2, quant var = 2.447e-09, quant bias = 8.890e-06
conv_1_7_1, quant var = 9.132e-09, quant bias = 2.554e-05
conv_1_7_2, quant var = 2.361e-09, quant bias = 6.811e-06
conv_1_8_1, quant var = 3.612e-09, quant bias = 3.465e-06
conv_1_8_2, quant var = 2.234e-09, quant bias = -5.435e-06
conv_1_9_1, quant var = 4.419e-09, quant bias = -4.368e-05
conv_1_9_2, quant var = 1.671e-09, quant bias = -2.892e-06
conv_2_1_1, quant var = 2.263e-08, quant bias = 8.706e-05
conv_2_1_2, quant var = 2.380e-08, quant bias = -9.132e-05
conv_2_1_skip, quant var = 7.345e-09, quant bias = -1.412e-05
conv_2_2_1, quant var = 7.376e-09, quant bias = 2.144e-05
conv_2_2_2, quant var = 5.993e-09, quant bias = -2.312e-05
conv_2_3_1, quant var = 7.364e-09, quant bias = 2.616e-05
conv_2_3_2, quant var = 4.228e-09, quant bias = -6.111e-06
conv_2_4_1, quant var = 7.755e-09, quant bias = -2.415e-05
conv_2_4_2, quant var = 4.758e-09, quant bias = -2.362e-05
conv_2_5_1, quant var = 6.457e-09, quant bias = -1.648e-05
conv_2_5_2, quant var = 4.637e-09, quant bias = -1.947e-06
conv_2_6_1, quant var = 4.685e-09, quant bias = 1.314e-05
conv_2_6_2, quant var = 3.695e-09, quant bias = -3.247e-05
conv_2_7_1, quant var = 6.193e-09, quant bias = -3.806e-05
conv_2_7_2, quant var = 4.047e-09, quant bias = -1.774e-05
conv_2_8_1, quant var = 4.975e-09, quant bias = 2.301e-06
conv_2_8_2, quant var = 3.368e-09, quant bias = -3.040e-06
conv_2_9_1, quant var = 5.351e-09, quant bias = -1.925e-05
conv_2_9_2, quant var = 3.460e-09, quant bias = 7.632e-06
conv_3_1_1, quant var = 2.486e-08, quant bias = -2.305e-05
conv_3_1_2, quant var = 4.277e-08, quant bias = -7.893e-05
conv_3_1_skip, quant var = 1.255e-08, quant bias = -1.146e-05
conv_3_2_1, quant var = 2.965e-08, quant bias = 5.371e-05
conv_3_2_2, quant var = 3.583e-08, quant bias = 1.332e-05
conv_3_3_1, quant var = 1.817e-08, quant bias = -8.282e-05
conv_3_3_2, quant var = 3.188e-08, quant bias = -6.770e-05
conv_3_4_1, quant var = 3.422e-08, quant bias = 1.784e-05
conv_3_4_2, quant var = 2.202e-08, quant bias = -7.253e-05
conv_3_5_1, quant var = 1.907e-08, quant bias = 1.216e-05
conv_3_5_2, quant var = 9.307e-09, quant bias = -4.969e-05
conv_3_6_1, quant var = 3.337e-09, quant bias = 2.459e-05
conv_3_6_2, quant var = 3.341e-09, quant bias = -8.057e-05
conv_3_7_1, quant var = 6.338e-09, quant bias = -4.668e-05
conv_3_7_2, quant var = 4.978e-09, quant bias = -6.358e-05
conv_3_8_1, quant var = 1.465e-08, quant bias = -8.236e-05
conv_3_8_2, quant var = 6.755e-09, quant bias = -5.600e-05
conv_3_9_1, quant var = 5.556e-09, quant bias = 2.117e-05
conv_3_9_2, quant var = 2.429e-10, quant bias = 1.692e-05
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 7.956e-07, Quant bias = -5.634e-04
