cnt is 390
conv_0, quant var = 9.066e-06, quant bias = 5.514e-04
conv_1_1_1, quant var = 1.709e-05, quant bias = 2.152e-03
conv_1_1_2, quant var = 7.528e-06, quant bias = 4.063e-04
conv_1_2_1, quant var = 6.063e-06, quant bias = 4.265e-04
conv_1_2_2, quant var = 2.996e-06, quant bias = -1.306e-04
conv_1_3_1, quant var = 2.957e-06, quant bias = -2.888e-04
conv_1_3_2, quant var = 2.163e-06, quant bias = -1.359e-04
conv_1_4_1, quant var = 3.182e-06, quant bias = -1.908e-04
conv_1_4_2, quant var = 1.715e-06, quant bias = -1.099e-03
conv_1_5_1, quant var = 1.865e-06, quant bias = -5.687e-04
conv_1_5_2, quant var = 9.844e-07, quant bias = -5.464e-04
conv_1_6_1, quant var = 1.331e-06, quant bias = -2.056e-04
conv_1_6_2, quant var = 8.636e-07, quant bias = -2.730e-05
conv_1_7_1, quant var = 1.975e-06, quant bias = 2.305e-05
conv_1_7_2, quant var = 7.742e-07, quant bias = -1.153e-04
conv_1_8_1, quant var = 1.650e-06, quant bias = -5.600e-04
conv_1_8_2, quant var = 6.653e-07, quant bias = -5.805e-05
conv_1_9_1, quant var = 1.128e-06, quant bias = -3.586e-04
conv_1_9_2, quant var = 5.738e-07, quant bias = -1.298e-04
conv_2_1_1, quant var = 5.461e-06, quant bias = -7.841e-04
conv_2_1_2, quant var = 5.857e-06, quant bias = -8.147e-04
conv_2_1_skip, quant var = 2.230e-06, quant bias = -1.886e-04
conv_2_2_1, quant var = 2.784e-06, quant bias = 7.115e-04
conv_2_2_2, quant var = 1.608e-06, quant bias = 5.730e-04
conv_2_3_1, quant var = 3.174e-06, quant bias = 6.433e-04
conv_2_3_2, quant var = 1.343e-06, quant bias = 3.446e-04
conv_2_4_1, quant var = 2.243e-06, quant bias = 2.056e-04
conv_2_4_2, quant var = 1.313e-06, quant bias = 3.279e-04
conv_2_5_1, quant var = 2.207e-06, quant bias = 1.090e-03
conv_2_5_2, quant var = 1.367e-06, quant bias = 1.151e-03
conv_2_6_1, quant var = 1.786e-06, quant bias = -4.773e-04
conv_2_6_2, quant var = 7.831e-07, quant bias = 4.740e-04
conv_2_7_1, quant var = 1.833e-06, quant bias = 1.737e-04
conv_2_7_2, quant var = 7.195e-07, quant bias = 1.712e-04
conv_2_8_1, quant var = 1.133e-06, quant bias = 7.267e-04
conv_2_8_2, quant var = 5.895e-07, quant bias = -6.719e-05
conv_2_9_1, quant var = 1.129e-06, quant bias = 2.747e-04
conv_2_9_2, quant var = 6.436e-07, quant bias = 3.515e-04
conv_3_1_1, quant var = 3.797e-06, quant bias = 1.937e-03
conv_3_1_2, quant var = 3.853e-06, quant bias = -4.710e-04
conv_3_1_skip, quant var = 1.118e-06, quant bias = -1.504e-04
conv_3_2_1, quant var = 3.578e-06, quant bias = 1.023e-03
conv_3_2_2, quant var = 1.772e-06, quant bias = -1.321e-03
conv_3_3_1, quant var = 2.370e-06, quant bias = 3.353e-04
conv_3_3_2, quant var = 1.183e-06, quant bias = -3.821e-04
conv_3_4_1, quant var = 9.978e-07, quant bias = -2.333e-04
conv_3_4_2, quant var = 6.525e-07, quant bias = -2.645e-04
conv_3_5_1, quant var = 5.011e-07, quant bias = 5.548e-05
conv_3_5_2, quant var = 2.418e-07, quant bias = 1.005e-04
conv_3_6_1, quant var = 1.330e-07, quant bias = -3.644e-05
conv_3_6_2, quant var = 9.913e-08, quant bias = -3.948e-05
conv_3_7_1, quant var = 1.540e-07, quant bias = -4.499e-04
conv_3_7_2, quant var = 3.963e-08, quant bias = -1.516e-04
conv_3_8_1, quant var = 4.590e-08, quant bias = -2.612e-04
conv_3_8_2, quant var = 6.076e-09, quant bias = 1.215e-05
conv_3_9_1, quant var = 1.382e-08, quant bias = -1.499e-04
conv_3_9_2, quant var = 1.640e-09, quant bias = 5.830e-05
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 1.233e-04, Quant bias = 3.643e-03
