cnt is 390
conv_0, quant var = 5.128e-06, quant bias = 6.265e-04
conv_1_1_1, quant var = 9.699e-05, quant bias = 2.347e-03
conv_1_1_2, quant var = 3.153e-05, quant bias = -2.084e-03
conv_1_2_1, quant var = 2.367e-05, quant bias = 2.032e-03
conv_1_2_2, quant var = 9.319e-06, quant bias = 1.930e-04
conv_1_3_1, quant var = 1.182e-05, quant bias = 8.134e-04
conv_1_3_2, quant var = 1.103e-05, quant bias = 2.110e-03
conv_1_4_1, quant var = 1.126e-05, quant bias = -1.784e-03
conv_1_4_2, quant var = 5.796e-06, quant bias = -1.039e-03
conv_1_5_1, quant var = 5.369e-06, quant bias = 7.406e-04
conv_1_5_2, quant var = 3.297e-06, quant bias = -6.780e-04
conv_1_6_1, quant var = 5.621e-06, quant bias = -2.087e-04
conv_1_6_2, quant var = 3.159e-06, quant bias = -4.810e-04
conv_1_7_1, quant var = 3.928e-06, quant bias = 5.330e-04
conv_1_7_2, quant var = 2.492e-06, quant bias = -5.957e-04
conv_1_8_1, quant var = 3.545e-06, quant bias = -6.397e-04
conv_1_8_2, quant var = 2.536e-06, quant bias = -4.812e-04
conv_1_9_1, quant var = 3.428e-06, quant bias = -8.418e-04
conv_1_9_2, quant var = 1.677e-06, quant bias = -2.602e-04
conv_2_1_1, quant var = 1.927e-05, quant bias = 1.198e-03
conv_2_1_2, quant var = 2.094e-05, quant bias = -2.800e-03
conv_2_1_skip, quant var = 7.725e-06, quant bias = -2.261e-04
conv_2_2_1, quant var = 7.853e-06, quant bias = 1.962e-03
conv_2_2_2, quant var = 6.302e-06, quant bias = -6.553e-04
conv_2_3_1, quant var = 1.179e-05, quant bias = -1.551e-03
conv_2_3_2, quant var = 6.381e-06, quant bias = -4.024e-04
conv_2_4_1, quant var = 8.059e-06, quant bias = -2.664e-03
conv_2_4_2, quant var = 5.766e-06, quant bias = 2.566e-04
conv_2_5_1, quant var = 7.143e-06, quant bias = 1.411e-03
conv_2_5_2, quant var = 6.122e-06, quant bias = 7.180e-04
conv_2_6_1, quant var = 8.586e-06, quant bias = -2.512e-03
conv_2_6_2, quant var = 3.491e-06, quant bias = -1.222e-04
conv_2_7_1, quant var = 5.808e-06, quant bias = -2.877e-04
conv_2_7_2, quant var = 3.095e-06, quant bias = -5.664e-05
conv_2_8_1, quant var = 2.897e-06, quant bias = -7.785e-05
conv_2_8_2, quant var = 2.565e-06, quant bias = -1.903e-04
conv_2_9_1, quant var = 3.410e-06, quant bias = 4.991e-04
conv_2_9_2, quant var = 2.870e-06, quant bias = 4.442e-04
conv_3_1_1, quant var = 1.700e-05, quant bias = -3.900e-04
conv_3_1_2, quant var = 2.003e-05, quant bias = 8.130e-04
conv_3_1_skip, quant var = 5.834e-06, quant bias = -4.992e-04
conv_3_2_1, quant var = 1.766e-05, quant bias = 4.305e-04
conv_3_2_2, quant var = 8.817e-06, quant bias = -2.178e-03
conv_3_3_1, quant var = 1.183e-05, quant bias = -1.682e-03
conv_3_3_2, quant var = 8.186e-06, quant bias = -7.259e-04
conv_3_4_1, quant var = 5.664e-06, quant bias = -5.570e-04
conv_3_4_2, quant var = 4.170e-06, quant bias = -1.206e-03
conv_3_5_1, quant var = 3.065e-06, quant bias = -4.421e-04
conv_3_5_2, quant var = 1.701e-06, quant bias = -3.117e-04
conv_3_6_1, quant var = 8.733e-07, quant bias = -5.874e-04
conv_3_6_2, quant var = 8.264e-07, quant bias = 4.862e-04
conv_3_7_1, quant var = 1.188e-06, quant bias = -1.410e-04
conv_3_7_2, quant var = 5.024e-07, quant bias = -3.925e-04
conv_3_8_1, quant var = 6.474e-07, quant bias = -6.617e-05
conv_3_8_2, quant var = 9.287e-08, quant bias = -3.340e-04
conv_3_9_1, quant var = 2.194e-07, quant bias = 2.207e-04
conv_3_9_2, quant var = 2.817e-08, quant bias = 9.763e-05
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 4.900e-04, Quant bias = -1.222e-02
