cnt is 390
conv_0, quant var = 2.048e-06, quant bias = 4.330e-04
conv_1_1_1, quant var = 3.200e-06, quant bias = 1.562e-04
conv_1_1_2, quant var = 1.997e-06, quant bias = 7.369e-04
conv_1_2_1, quant var = 1.614e-06, quant bias = 6.960e-05
conv_1_2_2, quant var = 6.207e-07, quant bias = 1.085e-04
conv_1_3_1, quant var = 6.468e-07, quant bias = 1.922e-04
conv_1_3_2, quant var = 4.502e-07, quant bias = 2.589e-04
conv_1_4_1, quant var = 5.025e-07, quant bias = -3.457e-04
conv_1_4_2, quant var = 3.509e-07, quant bias = -3.587e-04
conv_1_5_1, quant var = 3.065e-07, quant bias = -1.026e-04
conv_1_5_2, quant var = 2.116e-07, quant bias = 1.890e-05
conv_1_6_1, quant var = 5.623e-07, quant bias = -4.918e-04
conv_1_6_2, quant var = 1.633e-07, quant bias = 3.683e-05
conv_1_7_1, quant var = 4.327e-07, quant bias = -3.471e-04
conv_1_7_2, quant var = 1.581e-07, quant bias = 4.684e-05
conv_1_8_1, quant var = 2.882e-07, quant bias = -3.013e-04
conv_1_8_2, quant var = 1.492e-07, quant bias = -6.080e-05
conv_1_9_1, quant var = 1.873e-07, quant bias = -2.533e-04
conv_1_9_2, quant var = 1.488e-07, quant bias = -1.094e-04
conv_2_1_1, quant var = 9.641e-07, quant bias = -6.370e-05
conv_2_1_2, quant var = 1.233e-06, quant bias = -7.235e-04
conv_2_1_skip, quant var = 1.297e-07, quant bias = -4.170e-05
conv_2_2_1, quant var = 4.982e-07, quant bias = -7.239e-04
conv_2_2_2, quant var = 3.937e-07, quant bias = -2.484e-04
conv_2_3_1, quant var = 3.297e-07, quant bias = -3.727e-04
conv_2_3_2, quant var = 2.167e-07, quant bias = -1.245e-05
conv_2_4_1, quant var = 4.953e-07, quant bias = -2.208e-04
conv_2_4_2, quant var = 2.517e-07, quant bias = -1.438e-04
conv_2_5_1, quant var = 3.214e-07, quant bias = -2.324e-04
conv_2_5_2, quant var = 1.827e-07, quant bias = 1.018e-04
conv_2_6_1, quant var = 2.722e-07, quant bias = -6.247e-04
conv_2_6_2, quant var = 1.859e-07, quant bias = -4.940e-05
conv_2_7_1, quant var = 2.585e-07, quant bias = -5.295e-04
conv_2_7_2, quant var = 1.523e-07, quant bias = -1.195e-04
conv_2_8_1, quant var = 2.827e-07, quant bias = 7.085e-05
conv_2_8_2, quant var = 1.572e-07, quant bias = -1.323e-05
conv_2_9_1, quant var = 1.782e-07, quant bias = -2.364e-04
conv_2_9_2, quant var = 1.289e-07, quant bias = 6.714e-06
conv_3_1_1, quant var = 8.794e-07, quant bias = 5.758e-04
conv_3_1_2, quant var = 1.094e-06, quant bias = 4.418e-04
conv_3_1_skip, quant var = 1.755e-07, quant bias = -6.163e-05
conv_3_2_1, quant var = 6.352e-07, quant bias = -4.416e-04
conv_3_2_2, quant var = 4.383e-07, quant bias = -5.676e-04
conv_3_3_1, quant var = 3.214e-07, quant bias = -2.997e-04
conv_3_3_2, quant var = 1.703e-07, quant bias = -2.031e-05
conv_3_4_1, quant var = 1.689e-07, quant bias = 2.463e-05
conv_3_4_2, quant var = 7.995e-08, quant bias = -2.498e-04
conv_3_5_1, quant var = 6.844e-08, quant bias = -2.055e-04
conv_3_5_2, quant var = 3.263e-08, quant bias = 3.724e-05
conv_3_6_1, quant var = 2.126e-08, quant bias = -8.067e-06
conv_3_6_2, quant var = 8.563e-09, quant bias = -7.213e-05
conv_3_7_1, quant var = 1.404e-08, quant bias = -1.507e-04
conv_3_7_2, quant var = 4.172e-09, quant bias = -2.746e-06
conv_3_8_1, quant var = 6.227e-09, quant bias = -5.930e-05
conv_3_8_2, quant var = 1.813e-09, quant bias = -4.148e-05
conv_3_9_1, quant var = 3.220e-09, quant bias = 3.832e-05
conv_3_9_2, quant var = 6.632e-10, quant bias = -3.096e-05
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 2.479e-05, Quant bias = -5.584e-03
