cnt is 390
conv_0, quant var = 2.977e-06, quant bias = -2.584e-04
conv_1_1_1, quant var = 8.823e-06, quant bias = 1.081e-04
conv_1_1_2, quant var = 4.513e-06, quant bias = 6.358e-04
conv_1_2_1, quant var = 9.334e-06, quant bias = -9.893e-04
conv_1_2_2, quant var = 2.714e-06, quant bias = 7.077e-04
conv_1_3_1, quant var = 2.204e-06, quant bias = 4.475e-04
conv_1_3_2, quant var = 1.791e-06, quant bias = -1.082e-04
conv_1_4_1, quant var = 1.703e-06, quant bias = 4.705e-04
conv_1_4_2, quant var = 1.395e-06, quant bias = -1.048e-04
conv_1_5_1, quant var = 1.662e-06, quant bias = -8.799e-04
conv_1_5_2, quant var = 9.744e-07, quant bias = 5.051e-04
conv_1_6_1, quant var = 9.941e-07, quant bias = 4.507e-05
conv_1_6_2, quant var = 6.971e-07, quant bias = 1.501e-04
conv_1_7_1, quant var = 1.007e-06, quant bias = 5.040e-04
conv_1_7_2, quant var = 5.510e-07, quant bias = 1.216e-04
conv_1_8_1, quant var = 8.272e-07, quant bias = 3.747e-04
conv_1_8_2, quant var = 3.901e-07, quant bias = 1.775e-04
conv_1_9_1, quant var = 5.496e-07, quant bias = 2.327e-04
conv_1_9_2, quant var = 2.991e-07, quant bias = -2.293e-05
conv_2_1_1, quant var = 1.318e-06, quant bias = -2.441e-04
conv_2_1_2, quant var = 1.436e-06, quant bias = -2.823e-04
conv_2_1_skip, quant var = 8.669e-08, quant bias = -2.725e-05
conv_2_2_1, quant var = 1.057e-06, quant bias = 4.640e-04
conv_2_2_2, quant var = 6.550e-07, quant bias = -5.966e-04
conv_2_3_1, quant var = 4.864e-07, quant bias = -2.045e-04
conv_2_3_2, quant var = 3.666e-07, quant bias = 3.759e-04
conv_2_4_1, quant var = 3.236e-07, quant bias = -1.956e-05
conv_2_4_2, quant var = 1.923e-07, quant bias = -1.225e-04
conv_2_5_1, quant var = 2.238e-07, quant bias = 1.250e-05
conv_2_5_2, quant var = 1.201e-07, quant bias = 9.929e-05
conv_2_6_1, quant var = 1.507e-07, quant bias = -3.467e-04
conv_2_6_2, quant var = 8.062e-08, quant bias = 1.286e-04
conv_2_7_1, quant var = 1.304e-07, quant bias = 1.499e-04
conv_2_7_2, quant var = 5.996e-08, quant bias = 2.388e-05
conv_2_8_1, quant var = 8.788e-08, quant bias = -2.088e-04
conv_2_8_2, quant var = 4.225e-08, quant bias = -9.564e-05
conv_2_9_1, quant var = 7.266e-08, quant bias = 2.942e-04
conv_2_9_2, quant var = 3.275e-08, quant bias = -1.895e-05
conv_3_1_1, quant var = 1.041e-07, quant bias = -3.364e-06
conv_3_1_2, quant var = 1.054e-07, quant bias = 3.075e-04
conv_3_1_skip, quant var = 5.891e-09, quant bias = -5.409e-07
conv_3_2_1, quant var = 6.280e-08, quant bias = 1.701e-04
conv_3_2_2, quant var = 3.262e-08, quant bias = 9.472e-05
conv_3_3_1, quant var = 3.230e-08, quant bias = -7.814e-05
conv_3_3_2, quant var = 1.745e-08, quant bias = 5.701e-05
conv_3_4_1, quant var = 1.592e-08, quant bias = 5.461e-05
conv_3_4_2, quant var = 7.993e-09, quant bias = 4.407e-05
conv_3_5_1, quant var = 1.131e-08, quant bias = -5.816e-05
conv_3_5_2, quant var = 4.166e-09, quant bias = 1.983e-05
conv_3_6_1, quant var = 7.477e-09, quant bias = -7.174e-05
conv_3_6_2, quant var = 2.463e-09, quant bias = 5.651e-06
conv_3_7_1, quant var = 3.769e-09, quant bias = -4.648e-05
conv_3_7_2, quant var = 1.020e-09, quant bias = 3.898e-05
conv_3_8_1, quant var = 1.940e-09, quant bias = -3.454e-05
conv_3_8_2, quant var = 5.501e-10, quant bias = 8.091e-06
conv_3_9_1, quant var = 1.256e-09, quant bias = -2.117e-06
conv_3_9_2, quant var = 1.579e-10, quant bias = 3.037e-06
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 5.075e-05, Quant bias = 2.007e-03
