cnt is 390
conv_0, quant var = 1.426e-06, quant bias = 3.355e-04
conv_1_1_1, quant var = 2.457e-05, quant bias = -2.345e-03
conv_1_1_2, quant var = 1.255e-05, quant bias = -1.287e-04
conv_1_2_1, quant var = 7.162e-06, quant bias = -3.603e-05
conv_1_2_2, quant var = 4.869e-06, quant bias = 4.375e-05
conv_1_3_1, quant var = 3.738e-06, quant bias = -6.969e-04
conv_1_3_2, quant var = 1.928e-06, quant bias = 1.040e-03
conv_1_4_1, quant var = 5.550e-06, quant bias = -1.058e-03
conv_1_4_2, quant var = 1.012e-05, quant bias = 8.629e-04
conv_1_5_1, quant var = 3.217e-06, quant bias = -5.320e-04
conv_1_5_2, quant var = 1.696e-06, quant bias = -2.201e-04
conv_1_6_1, quant var = 7.506e-06, quant bias = 1.588e-03
conv_1_6_2, quant var = 1.579e-06, quant bias = -7.911e-04
conv_1_7_1, quant var = 2.418e-06, quant bias = 7.778e-05
conv_1_7_2, quant var = 3.552e-06, quant bias = -8.412e-04
conv_1_8_1, quant var = 1.949e-06, quant bias = 2.111e-05
conv_1_8_2, quant var = 5.523e-06, quant bias = -5.348e-05
conv_1_9_1, quant var = 3.130e-06, quant bias = 7.209e-04
conv_1_9_2, quant var = 5.091e-07, quant bias = 3.556e-04
conv_2_1_1, quant var = 1.461e-05, quant bias = 1.921e-03
conv_2_1_2, quant var = 5.695e-05, quant bias = -6.053e-03
conv_2_1_skip, quant var = 7.925e-07, quant bias = 1.319e-04
conv_2_2_1, quant var = 6.884e-06, quant bias = -2.360e-03
conv_2_2_2, quant var = 6.277e-06, quant bias = 4.787e-04
conv_2_3_1, quant var = 4.881e-06, quant bias = -5.194e-04
conv_2_3_2, quant var = 1.478e-06, quant bias = -4.067e-04
conv_2_4_1, quant var = 4.575e-06, quant bias = 3.483e-04
conv_2_4_2, quant var = 3.713e-06, quant bias = -3.432e-04
conv_2_5_1, quant var = 3.673e-06, quant bias = -8.503e-04
conv_2_5_2, quant var = 2.733e-06, quant bias = 1.299e-03
conv_2_6_1, quant var = 5.430e-06, quant bias = 2.094e-03
conv_2_6_2, quant var = 1.515e-06, quant bias = -1.371e-04
conv_2_7_1, quant var = 4.973e-06, quant bias = -2.585e-03
conv_2_7_2, quant var = 2.495e-06, quant bias = 7.564e-04
conv_2_8_1, quant var = 1.966e-06, quant bias = -3.998e-04
conv_2_8_2, quant var = 2.471e-06, quant bias = 5.271e-04
conv_2_9_1, quant var = 4.200e-06, quant bias = -1.435e-03
conv_2_9_2, quant var = 1.482e-06, quant bias = 6.174e-04
conv_3_1_1, quant var = 1.060e-05, quant bias = 2.620e-03
conv_3_1_2, quant var = 1.377e-05, quant bias = -1.163e-03
conv_3_1_skip, quant var = 1.757e-06, quant bias = 1.193e-04
conv_3_2_1, quant var = 1.581e-05, quant bias = -4.246e-03
conv_3_2_2, quant var = 2.400e-05, quant bias = -1.418e-03
conv_3_3_1, quant var = 7.152e-06, quant bias = 5.307e-04
conv_3_3_2, quant var = 4.782e-06, quant bias = -1.854e-03
conv_3_4_1, quant var = 3.486e-06, quant bias = 2.945e-03
conv_3_4_2, quant var = 3.054e-06, quant bias = -4.347e-04
conv_3_5_1, quant var = 6.573e-06, quant bias = -2.212e-03
conv_3_5_2, quant var = 4.804e-06, quant bias = -8.274e-04
conv_3_6_1, quant var = 4.452e-06, quant bias = -3.158e-03
conv_3_6_2, quant var = 5.404e-06, quant bias = -1.392e-03
conv_3_7_1, quant var = 6.568e-06, quant bias = 2.227e-03
conv_3_7_2, quant var = 3.654e-06, quant bias = -1.729e-03
conv_3_8_1, quant var = 3.518e-06, quant bias = -1.390e-03
conv_3_8_2, quant var = 5.254e-06, quant bias = -1.787e-03
conv_3_9_1, quant var = 4.335e-06, quant bias = -2.703e-03
conv_3_9_2, quant var = 3.110e-06, quant bias = 6.919e-04
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 3.662e-04, Quant bias = -2.375e-02
