cnt is 390
conv_0, quant var = 2.048e-06, quant bias = 4.330e-04
conv_1_1_1, quant var = 1.015e-05, quant bias = 6.238e-04
conv_1_1_2, quant var = 4.981e-06, quant bias = 9.176e-04
conv_1_2_1, quant var = 4.033e-06, quant bias = 2.069e-04
conv_1_2_2, quant var = 1.791e-06, quant bias = 1.389e-04
conv_1_3_1, quant var = 1.127e-06, quant bias = -1.504e-05
conv_1_3_2, quant var = 9.129e-07, quant bias = 3.812e-04
conv_1_4_1, quant var = 1.315e-06, quant bias = 4.056e-04
conv_1_4_2, quant var = 7.145e-07, quant bias = -5.947e-04
conv_1_5_1, quant var = 5.581e-07, quant bias = -3.969e-05
conv_1_5_2, quant var = 4.692e-07, quant bias = -2.676e-06
conv_1_6_1, quant var = 9.896e-07, quant bias = -5.964e-04
conv_1_6_2, quant var = 3.674e-07, quant bias = 1.471e-04
conv_1_7_1, quant var = 5.806e-07, quant bias = -2.813e-04
conv_1_7_2, quant var = 3.840e-07, quant bias = 1.198e-05
conv_1_8_1, quant var = 4.711e-07, quant bias = -2.580e-04
conv_1_8_2, quant var = 3.568e-07, quant bias = 1.235e-04
conv_1_9_1, quant var = 3.346e-07, quant bias = -3.321e-04
conv_1_9_2, quant var = 2.725e-07, quant bias = 1.880e-05
conv_2_1_1, quant var = 1.861e-06, quant bias = 1.441e-04
conv_2_1_2, quant var = 2.280e-06, quant bias = -8.924e-04
conv_2_1_skip, quant var = 2.843e-07, quant bias = -7.181e-05
conv_2_2_1, quant var = 8.899e-07, quant bias = -6.813e-04
conv_2_2_2, quant var = 7.744e-07, quant bias = -5.389e-04
conv_2_3_1, quant var = 5.872e-07, quant bias = 1.793e-04
conv_2_3_2, quant var = 4.735e-07, quant bias = 1.667e-04
conv_2_4_1, quant var = 9.185e-07, quant bias = -4.823e-04
conv_2_4_2, quant var = 5.727e-07, quant bias = -1.436e-04
conv_2_5_1, quant var = 5.723e-07, quant bias = -3.002e-04
conv_2_5_2, quant var = 3.583e-07, quant bias = 2.668e-04
conv_2_6_1, quant var = 4.506e-07, quant bias = -4.095e-04
conv_2_6_2, quant var = 4.026e-07, quant bias = -1.858e-04
conv_2_7_1, quant var = 4.257e-07, quant bias = -5.129e-04
conv_2_7_2, quant var = 2.811e-07, quant bias = -3.038e-04
conv_2_8_1, quant var = 4.566e-07, quant bias = 7.000e-05
conv_2_8_2, quant var = 3.090e-07, quant bias = -1.853e-04
conv_2_9_1, quant var = 3.366e-07, quant bias = -3.773e-04
conv_2_9_2, quant var = 2.417e-07, quant bias = 9.511e-05
conv_3_1_1, quant var = 1.955e-06, quant bias = 8.101e-04
conv_3_1_2, quant var = 3.286e-06, quant bias = -2.704e-05
conv_3_1_skip, quant var = 5.573e-07, quant bias = -8.407e-05
conv_3_2_1, quant var = 1.666e-06, quant bias = -4.913e-05
conv_3_2_2, quant var = 1.245e-06, quant bias = -1.938e-04
conv_3_3_1, quant var = 9.104e-07, quant bias = 3.569e-04
conv_3_3_2, quant var = 4.970e-07, quant bias = -4.608e-04
conv_3_4_1, quant var = 4.479e-07, quant bias = -1.289e-05
conv_3_4_2, quant var = 2.597e-07, quant bias = -2.566e-04
conv_3_5_1, quant var = 2.394e-07, quant bias = -2.491e-04
conv_3_5_2, quant var = 1.216e-07, quant bias = 5.621e-04
conv_3_6_1, quant var = 7.024e-08, quant bias = 9.540e-05
conv_3_6_2, quant var = 3.462e-08, quant bias = -1.649e-04
conv_3_7_1, quant var = 5.004e-08, quant bias = -1.788e-04
conv_3_7_2, quant var = 1.764e-08, quant bias = 2.150e-04
conv_3_8_1, quant var = 2.474e-08, quant bias = -1.876e-04
conv_3_8_2, quant var = 7.744e-09, quant bias = -7.573e-05
conv_3_9_1, quant var = 1.120e-08, quant bias = 1.536e-04
conv_3_9_2, quant var = 2.466e-09, quant bias = -3.055e-05
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 5.573e-05, Quant bias = -2.652e-03
