cnt is 390
conv_0, quant var = 1.802e-08, quant bias = 2.888e-05
conv_1_1_1, quant var = 4.024e-08, quant bias = 3.359e-05
conv_1_1_2, quant var = 2.264e-08, quant bias = 7.062e-05
conv_1_2_1, quant var = 1.720e-08, quant bias = 1.989e-05
conv_1_2_2, quant var = 6.879e-09, quant bias = 1.168e-05
conv_1_3_1, quant var = 4.251e-09, quant bias = 2.057e-06
conv_1_3_2, quant var = 3.339e-09, quant bias = 6.137e-06
conv_1_4_1, quant var = 5.803e-09, quant bias = -2.891e-05
conv_1_4_2, quant var = 2.422e-09, quant bias = -2.670e-05
conv_1_5_1, quant var = 2.012e-09, quant bias = -9.204e-06
conv_1_5_2, quant var = 1.836e-09, quant bias = -2.682e-05
conv_1_6_1, quant var = 3.176e-09, quant bias = 1.378e-05
conv_1_6_2, quant var = 1.308e-09, quant bias = -3.672e-06
conv_1_7_1, quant var = 5.199e-09, quant bias = -2.090e-06
conv_1_7_2, quant var = 1.361e-09, quant bias = -7.445e-06
conv_1_8_1, quant var = 2.466e-09, quant bias = 4.844e-06
conv_1_8_2, quant var = 1.138e-09, quant bias = -9.139e-06
conv_1_9_1, quant var = 2.608e-09, quant bias = -2.368e-05
conv_1_9_2, quant var = 1.076e-09, quant bias = -8.154e-06
conv_2_1_1, quant var = 9.236e-09, quant bias = 5.313e-05
conv_2_1_2, quant var = 1.377e-08, quant bias = -6.516e-05
conv_2_1_skip, quant var = 4.162e-09, quant bias = -1.091e-05
conv_2_2_1, quant var = 5.382e-09, quant bias = -9.998e-06
conv_2_2_2, quant var = 3.445e-09, quant bias = -2.423e-05
conv_2_3_1, quant var = 5.462e-09, quant bias = 4.904e-05
conv_2_3_2, quant var = 2.512e-09, quant bias = -5.387e-06
conv_2_4_1, quant var = 4.556e-09, quant bias = -1.501e-05
conv_2_4_2, quant var = 2.726e-09, quant bias = -2.639e-05
conv_2_5_1, quant var = 4.186e-09, quant bias = -1.991e-05
conv_2_5_2, quant var = 2.667e-09, quant bias = -2.722e-05
conv_2_6_1, quant var = 3.322e-09, quant bias = 2.689e-05
conv_2_6_2, quant var = 2.107e-09, quant bias = -2.460e-05
conv_2_7_1, quant var = 4.479e-09, quant bias = -1.498e-05
conv_2_7_2, quant var = 2.289e-09, quant bias = -1.809e-05
conv_2_8_1, quant var = 3.669e-09, quant bias = -2.139e-05
conv_2_8_2, quant var = 2.106e-09, quant bias = -1.614e-05
conv_2_9_1, quant var = 4.055e-09, quant bias = -8.958e-06
conv_2_9_2, quant var = 1.983e-09, quant bias = -1.951e-06
conv_3_1_1, quant var = 1.335e-08, quant bias = -4.749e-05
conv_3_1_2, quant var = 1.860e-08, quant bias = -6.200e-05
conv_3_1_skip, quant var = 5.526e-09, quant bias = -2.829e-06
conv_3_2_1, quant var = 1.675e-08, quant bias = 2.941e-05
conv_3_2_2, quant var = 1.291e-08, quant bias = -6.531e-05
conv_3_3_1, quant var = 1.121e-08, quant bias = -9.191e-05
conv_3_3_2, quant var = 1.039e-08, quant bias = -3.194e-05
conv_3_4_1, quant var = 1.202e-08, quant bias = 5.447e-05
conv_3_4_2, quant var = 6.629e-09, quant bias = -2.731e-05
conv_3_5_1, quant var = 6.096e-09, quant bias = 2.214e-06
conv_3_5_2, quant var = 2.545e-09, quant bias = -2.701e-05
conv_3_6_1, quant var = 1.493e-09, quant bias = 8.233e-06
conv_3_6_2, quant var = 1.232e-09, quant bias = -2.827e-05
conv_3_7_1, quant var = 3.450e-09, quant bias = -8.183e-05
conv_3_7_2, quant var = 1.881e-09, quant bias = -1.427e-05
conv_3_8_1, quant var = 4.328e-09, quant bias = -3.517e-05
conv_3_8_2, quant var = 1.694e-09, quant bias = -3.004e-05
conv_3_9_1, quant var = 1.389e-09, quant bias = 2.115e-05
conv_3_9_2, quant var = 5.834e-11, quant bias = 3.337e-06
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 3.566e-07, Quant bias = -5.622e-04
