cnt is 390
conv_0, quant var = 3.900e-06, quant bias = -7.522e-04
conv_1_1_1, quant var = 3.077e-04, quant bias = 7.898e-03
conv_1_1_2, quant var = 2.244e-04, quant bias = -6.986e-03
conv_1_2_1, quant var = 5.923e-04, quant bias = -1.564e-02
conv_1_2_2, quant var = 1.257e-04, quant bias = -3.547e-03
conv_1_3_1, quant var = 8.978e-05, quant bias = -1.024e-03
conv_1_3_2, quant var = 9.264e-05, quant bias = -6.102e-05
conv_1_4_1, quant var = 7.136e-05, quant bias = -2.605e-03
conv_1_4_2, quant var = 7.810e-05, quant bias = -2.261e-03
conv_1_5_1, quant var = 1.462e-04, quant bias = -7.920e-03
conv_1_5_2, quant var = 4.543e-05, quant bias = -5.682e-04
conv_1_6_1, quant var = 5.604e-05, quant bias = 3.373e-03
conv_1_6_2, quant var = 4.483e-05, quant bias = -7.122e-05
conv_1_7_1, quant var = 4.682e-05, quant bias = -5.105e-04
conv_1_7_2, quant var = 5.267e-05, quant bias = -2.846e-03
conv_1_8_1, quant var = 2.258e-05, quant bias = -2.654e-03
conv_1_8_2, quant var = 2.179e-05, quant bias = -2.134e-03
conv_1_9_1, quant var = 4.113e-05, quant bias = -3.057e-03
conv_1_9_2, quant var = 3.097e-05, quant bias = 1.737e-03
conv_2_1_1, quant var = 1.023e-04, quant bias = -9.239e-03
conv_2_1_2, quant var = 1.458e-04, quant bias = 1.422e-02
conv_2_1_skip, quant var = 1.004e-05, quant bias = -5.264e-05
conv_2_2_1, quant var = 1.083e-04, quant bias = -1.045e-02
conv_2_2_2, quant var = 1.158e-04, quant bias = 7.196e-03
conv_2_3_1, quant var = 7.848e-05, quant bias = -1.323e-03
conv_2_3_2, quant var = 9.512e-05, quant bias = -4.260e-03
conv_2_4_1, quant var = 4.963e-05, quant bias = -2.401e-03
conv_2_4_2, quant var = 4.745e-05, quant bias = -4.145e-03
conv_2_5_1, quant var = 6.523e-05, quant bias = -9.469e-03
conv_2_5_2, quant var = 4.711e-05, quant bias = -2.287e-03
conv_2_6_1, quant var = 3.516e-05, quant bias = -4.525e-04
conv_2_6_2, quant var = 2.317e-05, quant bias = 7.346e-04
conv_2_7_1, quant var = 2.603e-05, quant bias = 2.407e-03
conv_2_7_2, quant var = 2.870e-05, quant bias = 2.113e-03
conv_2_8_1, quant var = 4.354e-05, quant bias = -3.190e-03
conv_2_8_2, quant var = 2.625e-05, quant bias = 6.369e-03
conv_2_9_1, quant var = 2.276e-05, quant bias = -1.502e-03
conv_2_9_2, quant var = 1.752e-05, quant bias = 5.856e-04
conv_3_1_1, quant var = 4.744e-05, quant bias = 8.111e-03
conv_3_1_2, quant var = 5.596e-05, quant bias = 5.018e-03
conv_3_1_skip, quant var = 5.099e-06, quant bias = -3.823e-04
conv_3_2_1, quant var = 4.457e-05, quant bias = -4.305e-03
conv_3_2_2, quant var = 7.458e-05, quant bias = -4.839e-05
conv_3_3_1, quant var = 2.029e-05, quant bias = 5.575e-03
conv_3_3_2, quant var = 3.624e-05, quant bias = -2.249e-03
conv_3_4_1, quant var = 1.132e-05, quant bias = -7.345e-04
conv_3_4_2, quant var = 4.318e-05, quant bias = -1.256e-02
conv_3_5_1, quant var = 2.226e-05, quant bias = 2.211e-03
conv_3_5_2, quant var = 8.367e-05, quant bias = 9.786e-03
conv_3_6_1, quant var = 4.164e-05, quant bias = 3.806e-04
conv_3_6_2, quant var = 3.220e-06, quant bias = -1.350e-03
conv_3_7_1, quant var = 4.060e-05, quant bias = -5.472e-04
conv_3_7_2, quant var = 2.395e-07, quant bias = -4.004e-04
conv_3_8_1, quant var = 1.262e-05, quant bias = -2.404e-04
conv_3_8_2, quant var = 8.021e-06, quant bias = 1.262e-03
conv_3_9_1, quant var = 3.620e-05, quant bias = 1.554e-03
conv_3_9_2, quant var = 2.759e-05, quant bias = -2.709e-03
fc, quant var = 0.000e+00, quant bias = 0.000e+00
Overall Quant Var = 3.797e-03, Quant bias = -4.640e-02
